,key1,pruning_vertices_auto/gt/0.005,pruning_vertices_auto/gt/0.001,pruning_vertices_auto/gt/0.01,pruning_vertices_auto/gt/0.002,pruning_edges_auto/gt_edges/0.0002,pruning_edges_auto/gt_edges/0.0003,pruning_edges_auto/gt_edges/0.0001,pruning_edges_auto/gt_edges/7e-05,pruning_edges_auto/gt_vertex_prior/0.00015-0.002-0.3,pruning_edges_auto/gt_vertex_prior/2e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/5e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/7e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/0.0001-0.002-0.3,pruning_edges_auto/gt_edges_unif/0.0002,pruning_edges_auto/gt_edges_unif/0.0003,pruning_edges_auto/gt_edges_unif/0.0001,pruning_edges_auto/gt_edges_unif/7e-05,pruning_edges_auto/gt_edges_unif/0.00015,pruning_edges_auto/gt_edges_unif/5e-05,acdc_gt_runs/0.0002,acdc_gt_runs/0.0001,acdc_gt_runs/manual,acdc_gt_runs/0.001,acdc_gt_runs/0.01,acdc_gt_runs/0.00015,acdc_gt_runs/0.0005,acdc_gt_runs/5e-05,eap_gt_runs/0.005,eap_gt_runs/0.0014,eap_gt_runs/0.004,eap_gt_runs/0.001,eap_gt_runs/0.002,eap_gt_runs/0.003
10,pruning_edges_auto/gt_vertex_prior/5e-05-0.002-0.3,1.0,0.8260869565217391,1.0,1.0,0.8181818181818182,0.7272727272727273,0.6176470588235294,0.625,0.8695652173913043,0.71875,1.0,0.6507936507936508,0.75,0.6875,0.75,0.7307692307692307,0.6585365853658537,0.6923076923076923,0.675,0.7666666666666667,0.6304347826086957,0.7777777777777778,0.7333333333333333,0.9,0.6666666666666666,0.85,0.625,0.9230769230769231,0.6842105263157895,0.875,0.765625,0.6976744186046512,0.7916666666666666
11,pruning_edges_auto/gt_vertex_prior/7e-05-0.002-0.3,1.0,0.8260869565217391,1.0,1.0,0.9090909090909091,0.9090909090909091,0.5882352941176471,0.6190476190476191,0.782608695652174,0.7301587301587301,0.6507936507936508,1.0,0.775,0.75,0.9166666666666666,0.6923076923076923,0.5609756097560976,0.6923076923076923,0.6,0.6333333333333333,0.5652173913043478,0.7777777777777778,0.6666666666666666,0.7,0.6190476190476191,0.75,0.5873015873015873,0.8461538461538461,0.6140350877192983,0.8125,0.6666666666666666,0.627906976744186,0.75
12,pruning_edges_auto/gt_vertex_prior/0.0001-0.002-0.3,1.0,0.782608695652174,1.0,1.0,0.8181818181818182,0.7272727272727273,0.5,0.65,0.6086956521739131,0.8,0.75,0.775,1.0,0.625,0.75,0.5769230769230769,0.45,0.5384615384615384,0.525,0.5,0.475,0.6666666666666666,0.5333333333333333,0.7,0.525,0.65,0.625,0.8461538461538461,0.65,0.75,0.725,0.525,0.7083333333333334
13,pruning_edges_auto/gt_edges_unif/0.0002,1.0,0.6875,1.0,0.75,0.8181818181818182,0.8181818181818182,0.75,0.9375,0.625,0.8125,0.6875,0.75,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.625,0.4444444444444444,0.3333333333333333,0.4,0.5625,0.4375,0.75,0.38461538461538464,0.625,0.4375,0.75,0.625,0.5
14,pruning_edges_auto/gt_edges_unif/0.0003,1.0,0.75,1.0,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.75,1.0,0.75,0.8333333333333334,0.75,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.4444444444444444,0.4166666666666667,0.4,0.75,0.5833333333333334,0.75,0.4166666666666667,0.75,0.5833333333333334,0.75,0.75,0.6666666666666666
15,pruning_edges_auto/gt_edges_unif/0.0001,1.0,0.6086956521739131,1.0,0.8333333333333334,0.9090909090909091,0.8181818181818182,0.5769230769230769,0.8846153846153846,0.5217391304347826,0.8076923076923077,0.7307692307692307,0.6923076923076923,0.5769230769230769,1.0,1.0,1.0,0.9230769230769231,0.8076923076923077,0.8846153846153846,0.4230769230769231,0.5769230769230769,0.5555555555555556,0.4,0.5,0.5769230769230769,0.4,0.6923076923076923,0.5384615384615384,0.5769230769230769,0.5625,0.7307692307692307,0.5769230769230769,0.4166666666666667
16,pruning_edges_auto/gt_edges_unif/7e-05,1.0,0.8695652173913043,1.0,0.9166666666666666,0.8181818181818182,0.8181818181818182,0.5588235294117647,0.8292682926829268,0.6521739130434783,0.6829268292682927,0.6585365853658537,0.5609756097560976,0.45,1.0,1.0,0.9230769230769231,1.0,0.9615384615384616,0.8,0.5333333333333333,0.5365853658536586,0.6666666666666666,0.6,0.6,0.4878048780487805,0.6,0.6341463414634146,0.6923076923076923,0.5609756097560976,0.6875,0.6829268292682927,0.5365853658536586,0.5
17,pruning_edges_auto/gt_edges_unif/0.00015,1.0,0.6956521739130435,1.0,0.9166666666666666,0.9090909090909091,0.8181818181818182,0.5769230769230769,0.8846153846153846,0.6086956521739131,0.8076923076923077,0.6923076923076923,0.6923076923076923,0.5384615384615384,1.0,1.0,0.8076923076923077,0.9615384615384616,1.0,0.9615384615384616,0.46153846153846156,0.6153846153846154,0.6666666666666666,0.4666666666666667,0.6,0.5769230769230769,0.5,0.6923076923076923,0.5384615384615384,0.6538461538461539,0.5625,0.7692307692307693,0.6538461538461539,0.4166666666666667
18,pruning_edges_auto/gt_edges_unif/5e-05,1.0,0.8260869565217391,1.0,1.0,0.9090909090909091,0.8181818181818182,0.6470588235294118,0.825,0.6521739130434783,0.65,0.675,0.6,0.525,1.0,1.0,0.8846153846153846,0.8,0.9615384615384616,1.0,0.6,0.6,0.7777777777777778,0.6666666666666666,0.7,0.575,0.65,0.675,0.7692307692307693,0.65,0.75,0.725,0.575,0.5416666666666666
19,acdc_gt_runs/0.0002,0.8,0.5652173913043478,0.75,0.75,0.5454545454545454,0.5454545454545454,0.5,0.7666666666666667,0.6086956521739131,0.7333333333333333,0.7666666666666667,0.6333333333333333,0.5,0.5,0.6666666666666666,0.4230769230769231,0.5333333333333333,0.46153846153846156,0.6,1.0,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9666666666666667,1.0,1.0,0.9230769230769231,0.8666666666666667,0.875,0.9,0.8,0.7083333333333334
