,dataset,ablation,method,lamb,loss,edges
218,gt,resample,hc,0.00012,0.08088138699531555,368
219,gt,resample,hc,6e-05,0.07511925995349884,689
220,gt,resample,hc,0.002,0.1907438024878502,76
221,gt,resample,hc,5e-05,0.06608039923012257,873
222,gt,resample,eap,0.0006,0.2695534430444241,500
223,gt,resample,eap,0.0015,1.0482445746660232,135
224,gt,resample,eap,0.0004,0.2419738970696926,864
225,gt,resample,eap,0.0007,0.4031270518898964,408
226,gt,resample,eap,0.001,0.4577071100473404,255
227,gt,resample,eap,0.0005,0.2345842570066452,643
228,gt,resample,eap,0.003,1.2379302501678466,63
229,gt,resample,eap,0.00085,0.39151975214481355,313
230,gt,resample,acdc,0.0003,0.11669191531836987,430
231,gt,resample,acdc,0.0001,0.09147857017815113,985
232,gt,resample,acdc,0.00075,0.14159100390970708,210
233,gt,resample,acdc,0.0005,0.1392069973051548,290
234,gt,resample,acdc,manual,0.29141610860824585,235
235,gt,resample,acdc,0.002,0.20252227485179902,114
236,gt,resample,acdc,0.0002,0.10836104676127434,586
237,gt,cf,unif,2e-05,0.011022046534344554,643
238,gt,cf,unif,0.0025,0.09875460080802441,101
239,gt,cf,unif,0.005,0.2063535399734974,66
240,gt,cf,unif,0.0002,0.030814801529049873,200
241,gt,cf,unif,3e-05,0.012689055223017932,521
242,gt,cf,unif,0.0001,0.021582193858921527,276
243,gt,cf,unif,7e-05,0.01853251354768872,317
244,gt,cf,unif,0.001,0.058039368316531184,131
245,gt,cf,unif,1e-05,0.00839093206450343,995
246,gt,cf,unif,0.0005,0.04020407199859619,164
247,gt,cf,unif,0.0037,0.17601588517427444,77
248,gt,cf,unif,0.0015,0.07158993408083916,119
249,gt,cf,unif,5e-05,0.017358641745522617,374
250,gt,cf,hc,0.0007,0.09284918196499348,157
251,gt,cf,hc,0.0002,0.038010087609291074,212
252,gt,cf,hc,3e-05,0.02771008647978306,726
253,gt,cf,hc,0.0003,0.0522322153672576,173
254,gt,cf,hc,0.0001,0.03320901384577155,280
255,gt,cf,hc,7e-05,0.029533949308097364,327
256,gt,cf,hc,0.001,0.12756483554840087,116
257,gt,cf,hc,0.0005,0.07004097457975149,147
258,gt,cf,hc,0.002,0.1498884815722704,96
259,gt,cf,hc,5e-05,0.03117182943969965,509
260,gt,cf,hc,0.003,0.14932082556188106,87
261,gt,cf,eap,0.0015,0.15418469533324242,499
262,gt,cf,eap,0.001,0.1623278196901083,849
263,gt,cf,eap,0.003,0.19593048244714736,199
264,gt,cf,eap,0.005,0.3788755238056183,119
265,gt,cf,eap,0.002,0.2034042127430439,355
266,gt,cf,eap,0.0012,0.17423335276544094,682
267,gt,cf,acdc,0.0001,0.10661330856382847,478
268,gt,cf,acdc,0.0007,0.1583680123090744,168
269,gt,cf,acdc,5e-05,0.08533556032925844,771
270,gt,cf,acdc,0.001,0.1616925247013569,140
271,gt,cf,acdc,0.0005,0.1294186135753989,186
272,gt,cf,acdc,manual,0.1631231799721718,235
273,gt,cf,acdc,0.01,0.2851957730948925,61
274,gt,cf,acdc,0.00015,0.1128488766029477,386
275,gt,cf,acdc,0.005,0.20390456169843674,75
276,gt,cf,acdc,0.002,0.18474970646202565,99
277,gt,cf,acdc,0.007,0.24768082350492476,69
278,gt,cf,acdc,0.0002,0.11366156674921513,298
279,gt,oa,unif,2e-05,0.007259273948147893,598
280,gt,oa,unif,0.0007,0.015030742064118386,77
281,gt,oa,unif,0.0002,0.011034719413146377,142
282,gt,oa,unif,3e-05,0.009711706871166825,461
283,gt,oa,unif,0.0003,0.01080053155310452,131
284,gt,oa,unif,0.0001,0.009096407401375472,195
285,gt,oa,unif,7e-05,0.008940152497962118,266
286,gt,oa,unif,0.001,0.016439899196848275,60
287,gt,oa,unif,0.00015,0.009929339680820704,177
288,gt,oa,unif,0.0005,0.013518386473879217,99
289,gt,oa,unif,0.002,0.019423741661012173,33
290,gt,oa,unif,5e-05,0.008257593959569931,329
291,gt,oa,unif,1.5e-05,0.008244337257929146,735
292,gt,oa,unif,0.01,0.03229249119758606,11
293,gt,oa,unif,1e-05,0.006976709933951497,1002
294,gt,oa,hc,0.005,0.07065063379704953,7
295,gt,oa,hc,3e-05,0.009109287615865469,879
296,gt,oa,hc,0.0003,0.015331654250621796,90
297,gt,oa,hc,0.0001,0.01104384227655828,244
298,gt,oa,hc,7e-05,0.00970761701464653,457
299,gt,oa,hc,0.001,0.020359200332313775,29
300,gt,oa,hc,0.00015,0.01200857711955905,144
301,gt,oa,hc,0.0005,0.01683105234988034,66
302,gt,oa,hc,0.002,0.025641453359276055,16
303,gt,oa,hc,5e-05,0.010525823151692749,515
304,gt,oa,eap,0.005,0.029455962032079695,119
305,gt,oa,eap,0.001,0.010503550805151463,849
306,gt,oa,eap,0.0015,0.01474982062354684,499
307,gt,oa,eap,0.002,0.011692939419299364,355
308,gt,oa,eap,0.003,0.01894870549440384,199
309,gt,oa,eap,0.0012,0.012865410605445503,682
310,gt,oa,acdc,0.005,0.05775992888957262,75
311,gt,oa,acdc,0.0002,0.01225644643418491,298
312,gt,oa,acdc,0.0001,0.010681496281176806,478
313,gt,oa,acdc,manual,0.015445269271731376,235
314,gt,oa,acdc,0.001,0.019394911359995604,140
315,gt,oa,acdc,0.0005,0.017348697734996678,186
316,gt,oa,acdc,0.002,0.022374819964170456,99
317,gt,oa,acdc,5e-05,0.009830268798395991,771
